ComponentName,FaultProbability
org.apache.commons.math.linear.QRSolverTest:testSolveRankErrors,0
org.apache.commons.math3.complex.QuaternionTest:testSubtractQuaternionQuaternion,0.038
org.apache.commons.math3.distribution.ZipfDistributionTest:testMoments,0.13
org.apache.commons.math.linear.ArrayRealVector:mapCos,0
org.apache.commons.math.analysis.solvers.BisectionSolverTest:testDeprecated,0.01
org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator:<init>,0.038
org.apache.commons.math.ode.AbstractIntegrator:getEventsHandlers,0
org.apache.commons.math.linear.SparseRealVector:mapTanh,0
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSet:translate,0.309
org.apache.commons.math3.optimization.direct.MultivariateFunctionMappingAdapterTest:value,0.02
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest:testStats,0
org.apache.commons.math3.distribution.CauchyDistributionTest:makeCumulativeTestValues,0.095
org.apache.commons.math3.genetics.FixedElapsedTimeTest:iterator,0.01
org.apache.commons.math3.geometry.partitioning.BSPTree:<init>,0.05
org.apache.commons.math.linear.RealVectorImplTest:getL1Distance,0
org.apache.commons.math.analysis.UnivariateRealSolverImpl:solve,0
org.apache.commons.math.random.AbstractRandomGeneratorTest:suite,0
org.apache.commons.math3.util.Decimal64Field:getInstance,0.222
org.apache.commons.math.random.UncorrelatedRandomVectorGeneratorTest:suite,0
org.apache.commons.math.complex.ComplexFormatAbstractTest:testNegativeImaginary,0
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionTest:testConstants,0.04
org.apache.commons.math3.exception.NumberIsTooLargeException:getMax,0.309
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegression:newXSampleData,0.415
org.apache.commons.math3.random.ValueServerTest:testNextDigestFail,0.06
org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest:testToString,0.03
org.apache.commons.math.linear.DenseRealMatrixTest:testAddFail,0
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizer:setCost,0.038
org.apache.commons.math3.optimization.direct.AbstractSimplex:setPoint,0.19
org.apache.commons.math3.optimization.linear.SimplexSolverTest:testMath713NegativeVariable,0.03
org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest:<init>,0
org.apache.commons.math3.linear.ArrayFieldVectorTest:buildArray,0.309
org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest:testMinpackLinearRank1ZeroColsAndRows,0.038
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest:testAggregateSpecialValues,0
org.apache.commons.math3.stat.data.CertifiedDataAbstractTest:getMaximumAbsoluteError,0.309
org.spaceroots.mantissa.ode.TestProblemAbstract:setErrorScale,0
