TestName,TestOutcomeName,TestOutcome
org.apache.commons.math3.linear.RealVectorFormatTest:testParseSimpleNoDecimals,pass,1
org.apache.commons.math3.util.ArithmeticUtilsTest:testMulAndCheck,pass,1
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest:testVectorOnePair,pass,1
org.apache.commons.math3.analysis.solvers.IllinoisSolverTest:testSolutionRightSide,pass,1
org.apache.commons.math3.linear.SparseRealVectorTest:testGetDistanceMixedTypes,pass,1
org.apache.commons.math3.dfp.DfpTest:testAtan2,pass,1
org.apache.commons.math3.random.BitsStreamGeneratorTest:testNextBooleanDirect,pass,1
org.apache.commons.math3.distribution.UniformRealDistributionTest:testCumulativeProbabilities,pass,1
org.apache.commons.math3.genetics.RandomKeyTest:testInvalidRepresentation,pass,1
org.apache.commons.math3.random.Well19937cTest:testNextUniformIAE,pass,1
org.apache.commons.math3.util.FastMathStrictComparisonTest:test1[0],pass,1
org.apache.commons.math3.stat.inference.TestUtilsTest:testOneWayAnovaUtils,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest:testCircleFitting,failure,0
org.apache.commons.math3.util.ArithmeticUtilsTest:testMulAndCheckLong,pass,1
org.apache.commons.math3.random.RandomDataGeneratorTest:testNextIntWideRange,pass,1
org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegratorTest:testQuinticFunction,pass,1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest:testInconsistentSizes1,pass,1
org.apache.commons.math3.random.MersenneTwisterTest:testNextPermutation,pass,1
org.apache.commons.math3.stat.descriptive.moment.SkewnessTest:testEvaluateArraySegment,pass,1
org.apache.commons.math3.analysis.function.HarmonicOscillatorTest:testParametricGradient,pass,1
org.apache.commons.math3.distribution.TriangularDistributionTest:testInverseCumulativeProbabilities,pass,1
org.apache.commons.math3.fraction.BigFractionTest:testAdd,pass,1
org.apache.commons.math3.random.ISAACTest:testNextUniformExclusiveEndpoints,pass,1
org.apache.commons.math3.stat.regression.SimpleRegressionTest:testSSENonNegative,pass,1
org.apache.commons.math3.random.BitsStreamGeneratorTest:testNextSecureIntIAE,pass,1
org.apache.commons.math3.geometry.euclidean.threed.Vector3DTest:testWrongDimension,pass,1
org.apache.commons.math3.stat.descriptive.moment.VarianceTest:testEqualsAndHashCode,pass,1
org.apache.commons.math3.linear.EigenDecompositionTest:testSquareRootNonPositiveDefinite,pass,1
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testTrigo,pass,1
org.apache.commons.math3.transform.FastSineTransformerTest:testTransformRealInvalidDataSize[0],pass,1
org.apache.commons.math3.ode.sampling.StepNormalizerOutputOverlapTest:testMulLast,pass,1
org.apache.commons.math3.random.BitsStreamGeneratorTest:testNextF,pass,1
org.apache.commons.math3.distribution.PoissonDistributionTest:testSampling,pass,1
org.apache.commons.math3.linear.RealVectorFormatTest:testForgottenSeparator,pass,1
org.apache.commons.math3.linear.SparseRealVectorTest:testMapDivideToSelf,pass,1
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest:testSinhDefinition,pass,1
org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolatorTest:testRandomPolynomialsValuesOnly,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest:testInitOutofbounds1,failure,0
org.apache.commons.math3.transform.FastFourierTransformerTest:testStandardTransformFunction,pass,1
org.apache.commons.math3.util.MathUtilsTest:testReduceComparedWithNormalizeAngle,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest:testBoundsUnsupported,failure,0
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testWampler1,pass,1
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiatorTest:testStepSizeUnstability,pass,1
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testWampler3,pass,1
org.apache.commons.math3.random.BitsStreamGeneratorTest:testNextT,pass,1
org.apache.commons.math3.util.Decimal64Test:testPowField,pass,1
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest:testWampler4,pass,1
org.apache.commons.math3.random.Well19937cTest:testNextPoisson,pass,1
org.apache.commons.math3.geometry.euclidean.twod.SubLineTest:testSeveralSegments,pass,1
org.apache.commons.math3.distribution.CauchyDistributionTest:testDensityIntegrals,pass,1
org.apache.commons.math3.linear.SymmLQTest:testPreconditionedNormOfResidual,pass,1
org.apache.commons.math3.dfp.DfpTest:testTan,pass,1
org.apache.commons.math3.linear.ArrayRealVectorTest:testUnitize,pass,1
org.apache.commons.math3.distribution.LevyDistributionTest:testDistributionClone,pass,1
org.apache.commons.math3.stat.descriptive.rank.MedianTest:testCopy,pass,1
org.apache.commons.math3.util.MultidimensionalCounterTest:testMulti2UniConversion,pass,1
org.apache.commons.math3.dfp.DfpTest:testCompare,pass,1
org.apache.commons.math3.analysis.function.GaussianTest:testPreconditions,pass,1
org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFPTest:testInsufficientOrder3,pass,1
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolverTest:testConstructorsOK,pass,1
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest:testEllipse,failure,0
org.apache.commons.math3.linear.HessenbergTransformerTest:testHessenbergForm,pass,1
org.apache.commons.math3.random.Well44497bTest:testNextLongNegativeToPositiveRange,pass,1
org.apache.commons.math3.linear.LUDecompositionTest:testSingular,pass,1
org.apache.commons.math3.special.BetaTest:testLogBetaNanPositive,pass,1
org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolatorTest:testSinFunction,pass,1
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest:canEstimateResiduals,pass,1
org.apache.commons.math3.linear.SparseRealMatrixTest:testScalarAdd,pass,1
org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest:testAllMonomials[12],pass,1
org.apache.commons.math3.distribution.LogNormalDistributionTest:testMeanVariance,pass,1
org.apache.commons.math3.linear.BlockRealMatrixTest:testSetColumnVector,pass,1
org.apache.commons.math3.distribution.WeibullDistributionTest:testMoments,pass,1
org.apache.commons.math3.geometry.euclidean.threed.Vector3DTest:testAccurateCrossProduct,pass,1
org.apache.commons.math3.random.Well512aTest:testNextPermutation,pass,1
